Year,Country,Solar_Production,Hydropower,Wind,Biofuel,Geothermal,Conventional
1965,Colombia,112.0,2294.0,1544.0,566.0,252.0,16363.0
1965,Mexico,140.0,1769.0,1937.0,291.0,210.0,17309.0
1965,United States,354.0,2082.0,1999.0,289.0,239.0,12734.0
1965,United Kingdom,140.0,1646.0,666.0,700.0,291.0,12513.0
1965,China,349.0,4003.0,1008.0,134.0,213.0,12555.0
1965,India,399.0,4843.0,1202.0,655.0,239.0,18103.0
1965,Japan,471.0,2016.0,1219.0,152.0,266.0,13571.0
1965,Russia,166.0,1064.0,1020.0,747.0,188.0,5391.0
1965,Germany,298.0,4561.0,540.0,300.0,211.0,17790.0
1965,France,225.0,3731.0,1460.0,561.0,54.0,11910.0
1965,Spain,292.0,2038.0,1391.0,674.0,290.0,17383.0
1965,Brazil,494.0,3796.0,1040.0,259.0,292.0,15817.0
1965,Australia,71.0,3693.0,1863.0,430.0,296.0,16494.0
1965,Canada,394.0,3680.0,1782.0,555.0,111.0,18545.0
1965,South Africa,472.0,4743.0,1756.0,596.0,61.0,16649.0
1966,Colombia,112.13936197750986,4158.333905071377,506.01071609291546,667.0991521987016,275.8165317719333,16703.22821806219
1966,Mexico,64.95781104111025,2702.7644654453566,751.6885421896235,305.1089633681842,196.45643269722373,7355.812025377842
1966,United States,110.53411884304357,2939.082159366097,649.341209982357,226.52459633022215,258.08155028310955,5682.038356208075
1966,United Kingdom,430.0663513157114,2995.047505230699,1676.5806911616378,592.0728132143074,179.03550270105495,16126.50083776584
1966,China,488.9408644769631,2978.6234680913926,1825.0317665108607,247.45166660060366,300.03327178254204,18187.674091636018
1966,India,317.86167740515515,1461.5020902858166,1518.3561191641948,202.10107348991832,259.79422051990514,11321.180325084888
1966,Japan,173.56812658461715,1595.6781749711047,1949.5942167541084,355.0275911548499,268.3270035382161,19193.356838989497
1966,Russia,378.1949351574663,3876.2421207149314,1459.8970772378423,262.05422609084656,192.65079939631855,9011.658751383315
1966,Germany,405.3968936419767,1406.540303959262,1190.3746990713123,571.7956071030452,289.1797416951211,19590.72390898667
1966,France,451.6243951508742,3082.974056517708,1302.5804134481223,582.5857289633941,111.9983867597695,12693.972638657258
1966,Spain,59.174415087017735,4252.702292921765,980.118241367187,620.1104761007663,284.9061436940479,8447.127365932693
1966,Brazil,193.28916987668336,1708.2650472773369,694.2227880771487,262.95076601546884,178.7453737341881,10897.768525629053
1966,Australia,335.28024468035744,4869.044593588077,1357.4345871251846,741.5549889570912,180.6451015284772,16404.88062963981
1966,Canada,311.8356439876405,4116.467959221322,1262.679123425785,511.7397216576694,300.01036972554795,17364.93180715867
1966,South Africa,331.2837636679997,1404.2538426551969,973.1104670874948,455.2819458195226,266.3440522705904,9174.623920725298
1967,Colombia,81.85472710648425,3212.9083326056902,1873.002010884127,789.935603363958,107.14832970878662,15913.779460804384
1967,Mexico,66.17234332655794,4707.22890475819,1731.7361846000958,456.24381072966065,106.55341236967121,11897.068166357003
1967,United States,140.71676083343962,2699.951861947687,1339.468165900646,161.4707382880536,280.7373346973255,11035.878409640976
1967,United Kingdom,409.5079992061229,2675.7329432007086,1021.5388178378488,202.29535998823673,99.73146398842923,12446.394711755676
1967,China,287.13357005941253,1718.543540525114,1300.8403145324946,182.39622326296447,233.03138444185748,7791.350373337312
1967,India,231.36802113617404,2021.1141330939129,1468.6292628750402,307.1029666109905,270.96646350046734,17885.70434568715
1967,Japan,268.4708131939038,3080.4805892419704,1629.3624320781764,326.0918272417423,200.01254503432034,16071.150195872005
1967,Russia,19.92680931511931,1351.424192782063,1008.93759146844,268.64138144854974,205.70867336953194,17009.463057475386
1967,Germany,434.48963341388804,4517.414648087765,1951.2118781748622,147.1747468087358,192.85835647883349,8394.457746052123
1967,France,258.4640541873309,3912.5572263538074,1116.7590024877557,707.0437474167854,167.1274190990936,8342.431228695355
1967,Spain,130.03154277423909,1422.3918632667564,1240.4278474430787,780.0646372626784,254.27408113499985,7885.240411360054
1967,Brazil,49.976144686342266,3156.40803540253,1723.4949335371502,476.0790686794015,77.01817149633872,10018.218310894104
1967,Australia,384.04201897958285,2916.896180862192,909.1641858279696,280.3209117804842,243.62152790567706,9219.392415237018
1967,Canada,302.60049573640646,4469.825209496426,1896.666275289562,173.7592646301884,78.2148122093832,10668.189962355014
1967,South Africa,168.2503684037696,2072.9120610304867,1578.7939856682754,504.2971732939424,186.94814222716403,13972.073201004167
1968,Colombia,169.62382332768962,4106.422659475762,1010.4024244637301,335.756961255035,194.33545850542617,18832.623207114844
1968,Mexico,135.7592578603043,3092.272565711278,853.9756650067214,473.335779323602,297.4201111620925,12642.320127658744
1968,United States,148.20261896040375,4339.25251075048,957.5358510814671,275.8179980832228,143.98151517411458,16774.441860864776
1968,United Kingdom,259.6239277039295,2107.11460791366,965.4103149613253,472.69790491248966,186.50021259058295,17555.026747144642
1968,China,381.99469586032023,1946.3539375777918,651.6253109883208,798.7289094403687,114.9361183296655,9268.324133090357
1968,India,226.02938858334392,2722.3078142660197,1979.2771741300419,339.95128195927845,197.72724638860663,14701.631006703657
1968,Japan,281.81389612589186,4037.2144478438836,1244.6943667730925,467.10091077507144,210.01396038878178,14389.574539166852
